,elevation,scan_type
2018-05-24 20:00:04+00:00,7.498169,kdp
2018-05-24 21:00:05+00:00,7.498169,kdp
2018-05-24 22:00:05+00:00,7.498169,kdp
2018-05-24 23:00:05+00:00,7.498169,kdp
2018-05-25 00:00:05+00:00,7.498169,kdp
2018-05-25 00:10:05+00:00,7.498169,kdp
2018-05-25 00:22:05+00:00,7.498169,kdp
2018-05-25 00:30:05+00:00,7.498169,kdp
2018-05-25 00:40:05+00:00,7.498169,kdp
2018-05-25 15:30:04+00:00,7.498169,kdp
2018-05-25 16:00:05+00:00,7.498169,kdp
2018-05-26 03:00:05+00:00,7.498169,kdp
2018-05-29 15:30:08+00:00,0.30212402,dda
2018-05-29 16:00:08+00:00,0.30212402,dda
2018-05-29 17:00:08+00:00,0.30212402,dda
2018-05-29 18:00:08+00:00,0.30212402,dda
2018-05-29 19:00:08+00:00,0.30212402,dda
2018-05-29 20:05:08+00:00,0.30212402,dda
2018-05-29 21:00:08+00:00,0.30212402,dda
2018-05-29 22:00:08+00:00,0.30212402,dda
2018-05-29 22:30:08+00:00,0.30212402,dda
2018-05-30 00:00:08+00:00,0.30212402,dda
2018-05-30 01:00:08+00:00,0.30212402,dda
2018-05-30 02:10:08+00:00,0.30212402,dda
2018-05-30 22:00:08+00:00,0.30212402,dda
2018-05-30 23:00:08+00:00,0.30212402,dda
2018-05-31 00:00:08+00:00,0.30212402,dda
2018-05-31 01:00:07+00:00,0.30212402,dda
2018-05-31 02:00:08+00:00,0.30212402,dda
2018-05-31 03:00:08+00:00,0.30212402,dda
2018-05-31 04:00:07+00:00,0.30212402,dda
2018-05-31 09:00:08+00:00,0.30212402,dda
2018-05-31 10:00:08+00:00,0.30212402,dda
2018-05-31 11:00:08+00:00,0.30212402,dda
2018-05-31 12:00:08+00:00,0.30212402,dda
2018-05-31 13:10:08+00:00,0.30212402,dda
2018-05-31 14:05:08+00:00,0.30212402,dda
2018-05-31 15:00:08+00:00,0.30212402,dda
2018-05-31 16:00:08+00:00,0.30212402,dda
2018-05-31 17:00:08+00:00,0.30212402,dda
2018-05-31 18:05:08+00:00,0.30212402,dda
2018-05-31 19:05:08+00:00,0.30212402,dda
2018-05-31 20:00:08+00:00,0.30212402,dda
2018-06-30 20:00:08+00:00,0.30212402,dda
2018-06-30 21:00:08+00:00,0.30212402,dda
2018-06-30 22:10:08+00:00,0.30212402,dda
2018-06-30 23:00:08+00:00,0.30212402,dda
2018-07-01 00:00:08+00:00,0.30212402,dda
2018-07-01 01:00:08+00:00,0.30212402,dda
2018-07-01 02:00:08+00:00,0.30212402,dda
2018-07-01 03:00:08+00:00,0.30212402,dda
2018-07-01 04:00:08+00:00,0.30212402,dda
2018-07-14 08:00:07+00:00,0.30212402,dda
2018-07-14 09:00:08+00:00,0.30212402,dda
2018-07-14 10:05:07+00:00,0.30212402,dda
2018-07-14 11:00:08+00:00,0.30212402,dda
2018-07-14 12:00:08+00:00,0.30212402,dda
2018-07-14 13:05:08+00:00,0.30212402,dda
2018-07-14 14:00:08+00:00,0.30212402,dda
2018-07-14 14:50:08+00:00,0.30212402,dda
2018-07-14 16:00:08+00:00,0.30212402,dda
2018-07-15 11:00:08+00:00,0.30212402,dda
2018-07-15 12:00:07+00:00,0.30212402,dda
2018-07-15 13:05:08+00:00,0.30212402,dda
2018-07-15 14:00:08+00:00,0.30212402,dda
2018-07-15 15:00:08+00:00,0.30212402,dda
2018-07-15 16:00:08+00:00,0.30212402,dda
2018-07-16 11:05:08+00:00,0.30212402,dda
2018-07-16 12:00:08+00:00,0.30212402,dda
2018-07-26 13:00:30+00:00,0.30212402,dda
2018-07-26 14:00:08+00:00,0.30212402,dda
2018-07-26 15:00:08+00:00,0.30212402,dda
2018-08-16 17:00:05+00:00,7.498169,kdp
2018-08-16 19:00:05+00:00,7.498169,kdp
2018-08-16 20:00:05+00:00,7.498169,kdp
2018-08-16 21:00:05+00:00,7.498169,kdp
2018-08-17 02:00:05+00:00,7.498169,kdp
2018-08-17 03:00:05+00:00,7.498169,kdp
2018-08-17 04:00:05+00:00,7.498169,kdp
